Vértice: 7673, Pai: 43084, Nível: 2636
Vértice: 43084, Pai: 14372, Nível: 2635
Vértice: 20885, Pai: 14372, Nível: 2635
Vértice: 14372, Pai: 14337, Nível: 2634
Vértice: 14337, Pai: 1098, Nível: 2633
Vértice: 1098, Pai: 28259, Nível: 2632
Vértice: 35581, Pai: 28259, Nível: 2632
Vértice: 28259, Pai: 22572, Nível: 2631
Vértice: 22572, Pai: 25721, Nível: 2630
Vértice: 25721, Pai: 15067, Nível: 2629
Vértice: 15067, Pai: 18918, Nível: 2628
Vértice: 18918, Pai: 12921, Nível: 2627
Vértice: 12921, Pai: 37739, Nível: 2626
Vértice: 37739, Pai: 28325, Nível: 2625
Vértice: 28325, Pai: 24337, Nível: 2624
Vértice: 24337, Pai: 39673, Nível: 2623
Vértice: 39673, Pai: 16339, Nível: 2622
Vértice: 16339, Pai: 6125, Nível: 2621
Vértice: 6125, Pai: 10798, Nível: 2620
Vértice: 10798, Pai: 27557, Nível: 2619
Vértice: 27557, Pai: 3321, Nível: 2618
Vértice: 7798, Pai: 3321, Nível: 2618
Vértice: 26483, Pai: 3321, Nível: 2618
Vértice: 3321, Pai: 5838, Nível: 2617
Vértice: 5838, Pai: 24806, Nível: 2616
Vértice: 25448, Pai: 24806, Nível: 2616
Vértice: 16193, Pai: 24806, Nível: 2616
Vértice: 24806, Pai: 36900, Nível: 2615
Vértice: 36900, Pai: 35998, Nível: 2614
Vértice: 35998, Pai: 40513, Nível: 2613
Vértice: 40513, Pai: 29729, Nível: 2612
Vértice: 29729, Pai: 27876, Nível: 2611
Vértice: 22531, Pai: 35045, Nível: 2612
Vértice: 35045, Pai: 27876, Nível: 2611
Vértice: 27876, Pai: 47949, Nível: 2610
Vértice: 47949, Pai: 42502, Nível: 2609
Vértice: 42502, Pai: 29549, Nível: 2608
Vértice: 29549, Pai: 11536, Nível: 2607
Vértice: 32295, Pai: 11536, Nível: 2607
Vértice: 11536, Pai: 38758, Nível: 2606
Vértice: 30323, Pai: 38758, Nível: 2606
Vértice: 38758, Pai: 20800, Nível: 2605
Vértice: 20800, Pai: 44510, Nível: 2604
Vértice: 44510, Pai: 16176, Nível: 2603
Vértice: 16176, Pai: 5369, Nível: 2602
Vértice: 5369, Pai: 36758, Nível: 2601
Vértice: 49214, Pai: 1271, Nível: 2604
Vértice: 1271, Pai: 32262, Nível: 2603
Vértice: 32262, Pai: 8863, Nível: 2602
Vértice: 8863, Pai: 36758, Nível: 2601
Vértice: 36758, Pai: 5864, Nível: 2600
Vértice: 5864, Pai: 47414, Nível: 2599
Vértice: 47414, Pai: 35623, Nível: 2598
Vértice: 35623, Pai: 16264, Nível: 2597
Vértice: 16264, Pai: 38213, Nível: 2596
Vértice: 38213, Pai: 33021, Nível: 2595
Vértice: 33021, Pai: 4569, Nível: 2594
Vértice: 4569, Pai: 38674, Nível: 2593
Vértice: 38674, Pai: 598, Nível: 2592
Vértice: 15737, Pai: 598, Nível: 2592
Vértice: 598, Pai: 3527, Nível: 2591
Vértice: 3527, Pai: 48444, Nível: 2590
Vértice: 48444, Pai: 10377, Nível: 2589
Vértice: 10377, Pai: 16386, Nível: 2588
Vértice: 9064, Pai: 10002, Nível: 2589
Vértice: 10002, Pai: 16386, Nível: 2588
Vértice: 16386, Pai: 1050, Nível: 2587
Vértice: 1050, Pai: 3470, Nível: 2586
Vértice: 3470, Pai: 45396, Nível: 2585
Vértice: 45396, Pai: 1585, Nível: 2584
Vértice: 35803, Pai: 1585, Nível: 2584
Vértice: 1585, Pai: 17798, Nível: 2583
Vértice: 17798, Pai: 12395, Nível: 2582
Vértice: 12395, Pai: 15374, Nível: 2581
Vértice: 15374, Pai: 26321, Nível: 2580
Vértice: 27732, Pai: 22464, Nível: 2581
Vértice: 22464, Pai: 26321, Nível: 2580
Vértice: 33180, Pai: 12910, Nível: 2581
Vértice: 7276, Pai: 12910, Nível: 2581
Vértice: 12910, Pai: 26321, Nível: 2580
Vértice: 26321, Pai: 20411, Nível: 2579
Vértice: 20411, Pai: 24429, Nível: 2578
Vértice: 24429, Pai: 39971, Nível: 2577
Vértice: 39971, Pai: 39810, Nível: 2576
Vértice: 39810, Pai: 25615, Nível: 2575
Vértice: 25615, Pai: 40874, Nível: 2574
Vértice: 17516, Pai: 40874, Nível: 2574
Vértice: 40874, Pai: 17405, Nível: 2573
Vértice: 5368, Pai: 48922, Nível: 2576
Vértice: 48922, Pai: 27736, Nível: 2575
