Vértice: 515, Pai: -1, Nível: -1
Vértice: 516, Pai: -1, Nível: -1
Vértice: 517, Pai: -1, Nível: -1
Vértice: 518, Pai: 16894, Nível: 2
Vértice: 519, Pai: -1, Nível: -1
Vértice: 520, Pai: -1, Nível: -1
Vértice: 521, Pai: -1, Nível: -1
Vértice: 522, Pai: -1, Nível: -1
Vértice: 523, Pai: -1, Nível: -1
Vértice: 524, Pai: -1, Nível: -1
Vértice: 525, Pai: 7950, Nível: 4
Vértice: 526, Pai: -1, Nível: -1
Vértice: 527, Pai: -1, Nível: -1
Vértice: 528, Pai: -1, Nível: -1
Vértice: 529, Pai: -1, Nível: -1
Vértice: 530, Pai: -1, Nível: -1
Vértice: 531, Pai: -1, Nível: -1
Vértice: 532, Pai: -1, Nível: -1
Vértice: 533, Pai: -1, Nível: -1
Vértice: 534, Pai: -1, Nível: -1
Vértice: 535, Pai: -1, Nível: -1
Vértice: 536, Pai: -1, Nível: -1
Vértice: 537, Pai: -1, Nível: -1
Vértice: 538, Pai: -1, Nível: -1
Vértice: 539, Pai: -1, Nível: -1
Vértice: 540, Pai: -1, Nível: -1
Vértice: 541, Pai: -1, Nível: -1
Vértice: 542, Pai: -1, Nível: -1
Vértice: 543, Pai: -1, Nível: -1
Vértice: 544, Pai: -1, Nível: -1
Vértice: 545, Pai: -1, Nível: -1
Vértice: 546, Pai: -1, Nível: -1
Vértice: 547, Pai: -1, Nível: -1
Vértice: 548, Pai: -1, Nível: -1
Vértice: 549, Pai: -1, Nível: -1
Vértice: 550, Pai: -1, Nível: -1
Vértice: 551, Pai: -1, Nível: -1
Vértice: 552, Pai: -1, Nível: -1
Vértice: 553, Pai: -1, Nível: -1
Vértice: 554, Pai: -1, Nível: -1
Vértice: 555, Pai: -1, Nível: -1
Vértice: 556, Pai: -1, Nível: -1
Vértice: 557, Pai: -1, Nível: -1
Vértice: 558, Pai: -1, Nível: -1
Vértice: 559, Pai: -1, Nível: -1
Vértice: 560, Pai: -1, Nível: -1
Vértice: 561, Pai: 9256, Nível: 3
Vértice: 562, Pai: -1, Nível: -1
Vértice: 563, Pai: -1, Nível: -1
Vértice: 564, Pai: -1, Nível: -1
Vértice: 565, Pai: -1, Nível: -1
Vértice: 566, Pai: -1, Nível: -1
Vértice: 567, Pai: -1, Nível: -1
Vértice: 568, Pai: 12423, Nível: 3
Vértice: 569, Pai: -1, Nível: -1
Vértice: 570, Pai: -1, Nível: -1
Vértice: 571, Pai: -1, Nível: -1
Vértice: 572, Pai: -1, Nível: -1
Vértice: 573, Pai: -1, Nível: -1
Vértice: 574, Pai: -1, Nível: -1
Vértice: 575, Pai: -1, Nível: -1
Vértice: 576, Pai: -1, Nível: -1
Vértice: 577, Pai: -1, Nível: -1
Vértice: 578, Pai: -1, Nível: -1
Vértice: 579, Pai: -1, Nível: -1
Vértice: 580, Pai: -1, Nível: -1
Vértice: 581, Pai: -1, Nível: -1
Vértice: 582, Pai: -1, Nível: -1
Vértice: 583, Pai: -1, Nível: -1
Vértice: 584, Pai: -1, Nível: -1
Vértice: 585, Pai: 25721, Nível: 4
Vértice: 586, Pai: -1, Nível: -1
Vértice: 587, Pai: -1, Nível: -1
Vértice: 588, Pai: -1, Nível: -1
Vértice: 589, Pai: -1, Nível: -1
Vértice: 590, Pai: -1, Nível: -1
Vértice: 591, Pai: -1, Nível: -1
Vértice: 592, Pai: -1, Nível: -1
Vértice: 593, Pai: -1, Nível: -1
Vértice: 594, Pai: -1, Nível: -1
Vértice: 595, Pai: -1, Nível: -1
Vértice: 596, Pai: -1, Nível: -1
Vértice: 597, Pai: -1, Nível: -1
Vértice: 598, Pai: 15618, Nível: 4
Vértice: 599, Pai: -1, Nível: -1
Vértice: 600, Pai: -1, Nível: -1
Vértice: 601, Pai: -1, Nível: -1
Vértice: 602, Pai: -1, Nível: -1
Vértice: 603, Pai: -1, Nível: -1
Vértice: 604, Pai: -1, Nível: -1
Vértice: 605, Pai: -1, Nível: -1
Vértice: 606, Pai: -1, Nível: -1
Vértice: 607, Pai: -1, Nível: -1
Vértice: 608, Pai: -1, Nível: -1
Vértice: 609, Pai: -1, Nível: -1
Vértice: 610, Pai: 31931, Nível: 3
Vértice: 611, Pai: -1, Nível: -1
Vértice: 612, Pai: -1, Nível: -1
Vértice: 613, Pai: -1, Nível: -1
Vértice: 614, Pai: -1, Nível: -1
Vértice: 615, Pai: -1, Nível: -1
Vértice: 616, Pai: -1, Nível: -1
Vértice: 617, Pai: -1, Nível: -1
Vértice: 618, Pai: 23047, Nível: 3
Vértice: 619, Pai: -1, Nível: -1
Vértice: 620, Pai: -1, Nível: -1
Vértice: 621, Pai: -1, Nível: -1
Vértice: 622, Pai: -1, Nível: -1
Vértice: 623, Pai: -1, Nível: -1
Vértice: 624, Pai: -1, Nível: -1
Vértice: 625, Pai: -1, Nível: -1
Vértice: 626, Pai: -1, Nível: -1
Vértice: 627, Pai: -1, Nível: -1
